CO_UNIDADE;CO_CNES;NO_FANTASIA;CO_CEP;TP_UNIDADE;ESTADO_CODIGO;CO_TIPO_ESTABELECIMENTO;ANO;MES;CO_SUB_TIPO_UNIDADE;TIPO;MUNICIPIO_CODIGO;ESTADO_NOME;ESTADO_POPULACAO;MUNICIPIO_NOME;MUNICIPIO_POPULACAO;ESTADO_SIGLA;REGIAO_SAUDE_CODIGO;REGIAO_SAUDE_NOME;REGIAO_SAUDE_POPULACAO
2912905255279;5255279;CENTRO DE ATENCAO PSICOSSOCIAL DE IBIRATAIA;45580000;70;29;;2018;12;1;CAPS I;291290;Bahia;14659023;Ibirataia;19613;BA;29015;Jequié;490737
4124406743897;6743897;CAPS I DA FRONTEIRA SANTO ANTONIO DO SUDOESTE;85710000;70;41;;2018;12;1;CAPS I;412440;Paraná;11835379;Santo Antônio do Sudoeste;19677;PR;41008;8ª RS Francisco Beltrão;371437
2515306739008;6739008;CAPS AD NISE DA SILVEIRA;58340000;70;25;;2018;12;5;CAPS ALCOOL E DROGA;251530;Paraíba;4030961;Sapé;51142;PB;25001;1ª Região Mata Atlântica;1391802
3303906706258;6706258;CAPS AD III ALCOOL E OUTRAS DROGAS;25680003;70;33;;2018;12;3;CAPS III;330390;Rio de Janeiro;16615526;Petrópolis;304758;RJ;33009;Serrana;972989
4125507024878;7024878;CAPSI SAO JOSE DOS PINHAIS;83005150;70;41;0;2018;12;4;CAPS INFANTO/JUVENIL;412550;Paraná;11835379;São José dos Pinhais;327746;PR;41002;2ª RS Metropolitana;3742171
2800302360314;2360314;CAPS INFANTO JUVENIL DONA IVONE LARA;49055530;70;28;;2018;12;4;CAPS INFANTO/JUVENIL;280030;Sergipe;2211868;Aracaju;605309;SE;28001;Aracaju;818113
3205300012041;12041;CENTRO DE ATENCAO PSICOSSOCIAL AD III;29051100;70;32;17;2018;12;6;CAPS ALCOOL E DROGAS III - MUNICIPAL;320530;Espírito Santo;3975100;Vitória;331785;ES;32002;Metropolitana;2383044
3552807039271;7039271;CAPS II CENTRO DE ATENCAO PSICOSSOCIAL;6784540;70;35;0;2018;12;2;CAPS II;355280;São Paulo;46024937;Taboão da Serra;283419;SP;35013;Mananciais;1182458
4314403011518;3011518;CAPS AD III;96010300;70;43;17;2018;12;5;CAPS ALCOOL E DROGA;431440;Rio Grande do Sul;11088065;Pelotas;324026;RS;43021;Região 21 - Sul;815309
4314403042952;3042952;CAPS PORTO;96010000;70;43;17;2018;12;2;CAPS II;431440;Rio Grande do Sul;11088065;Pelotas;324026;RS;43021;Região 21 - Sul;815309
4115709121609;9121609;CAPS CENTRO DE ATENCAO PSICOSSOCIAL;83260000;70;41;;2018;12;1;CAPS I;411570;Paraná;11835379;Matinhos;39212;PR;41001;1ª RS Paranaguá;315144
2603209101845;9101845;CAPS CAETES;55360000;70;26;;2018;12;1;CAPS I;260320;Pernambuco;9051113;Caetés;28848;PE;26004;Garanhuns;537943
1500309390227;9390227;CENTRO DE ATENCAO PSICOSSOCIAL DE AFUA CAPS I;68890000;70;15;;2018;12;1;CAPS I;150030;Pará;8442962;Afuá;38020;PA;15013;Marajó I;253670
3529809171045;9171045;CAPS I DR JOSE LUIZ FRANCA PINTO;17320000;70;35;;2018;12;1;CAPS I;352980;São Paulo;46024937;Mineiros do Tietê;11233;SP;35064;Jaú;322857
1200409187847;9187847;CENTRO DE ATENCAO PSICOSSOCIAL CAPS II SAMAUMA;69900460;70;12;;2018;12;2;CAPS II;120040;Acre;829780;Rio Branco;364368;AC;12002;Baixo Acre e Purus;523732
2702109177590;9177590;CAPS AD;57975000;70;27;;2018;12;5;CAPS ALCOOL E DROGA;270210;Alagoas;3125254;Colônia Leopoldina;15673;AL;27003;3ª Região de Saúde;193044
2110909205632;9205632;CAPS DE SAO FRANCISCO DO MARANHAO;65650000;70;21;0;2018;12;1;CAPS I;211090;Maranhão;6800605;São Francisco do Maranhão;12049;MA;21017;Timon;250226
4314109156577;9156577;CAPS INFANTIL;99010010;70;43;;2018;12;4;CAPS INFANTO/JUVENIL;431410;Rio Grande do Sul;11088065;Passo Fundo;217240;RS;43017;Região 17 - Planalto;431211
4322709203753;9203753;EQUIPE DE REDUCAO DE DANO MODALIDADE 1;96880000;70;43;;2018;12;5;CAPS ALCOOL E DROGA;432270;Rio Grande do Sul;11088065;Vera Cruz;26702;RS;43028;Região 28 - Vinte e Oito;339548
3514909058125;9058125;CAPS I ELIAS FAUSTO;13350000;70;35;;2018;12;1;CAPS I;351490;São Paulo;46024937;Elias Fausto;17832;SP;35103;Piracicaba;619711
4318005509114;5509114;CAPS AD III SAO BORJA;97670000;70;43;;2018;12;6;CAPS ALCOOL E DROGAS III - MUNICIPAL;431800;Rio Grande do Sul;11088065;São Borja;58757;RS;43011;Região 11 - Sete Povos das Missões;277126
4214803041840;3041840;CAPS CENTRO DE ATENCAO PSICOSSOCIAL JOSE P CUNHA;89160182;70;42;;2018;12;1;CAPS I;421480;Santa Catarina;7762154;Rio do Sul;70952;SC;42004;Alto Vale do Itajaí;310208
3550302042924;2042924;CAPS AD II V MARIANA;4065004;70;35;;2018;12;5;CAPS ALCOOL E DROGA;355030;São Paulo;46024937;São Paulo;12200180;SP;35016;São Paulo;12200180
3550302029596;2029596;CAPS INFANTIL II VILA PRUDENTE;3143000;70;35;;2018;12;4;CAPS INFANTO/JUVENIL;355030;São Paulo;46024937;São Paulo;12200180;SP;35016;São Paulo;12200180
3550302068133;2068133;CAPS ADULTO II DR LEONIDIO GALVAO DOS SANTOS;2259001;70;35;;2018;12;2;CAPS II;355030;São Paulo;46024937;São Paulo;12200180;SP;35016;São Paulo;12200180
3531905713005;5713005;CAPS I CENTRO DE ATENCAO PSICO SOCIAL;14640000;70;35;17;2018;12;1;CAPS I;353190;São Paulo;46024937;Morro Agudo;26806;SP;35082;Alta Anhanguera;146033
1301656778305;6778305;CAPS GUAJARA;69895000;70;13;15;2018;12;1;CAPS I;130165;Amazonas;3952262;Guajará;13809;AM;13007;Regional Juruá;128362
1303806774539;6774539;CAPS PICASSUARA;69750000;70;13;17;2018;12;1;CAPS I;130380;Amazonas;3952262;São Gabriel da Cachoeira;51921;AM;13001;Manaus, Entorno e Alto Rio Negro;2391219
4314906754090;6754090;CAPS AD II GCC;90820160;70;43;;2018;12;5;CAPS ALCOOL E DROGA;431490;Rio Grande do Sul;11088065;Porto Alegre;1404269;RS;43010;Região 10 - Capital e Vale do Gravataí;2235272
2304956768245;6768245;CAPS CENTRO DE ATENCAO PSICOSSOCIAL DE GUAIUBA;61890000;70;23;;2018;12;1;CAPS I;230495;Ceará;8936431;Guaiúba;22283;CE;23003;3ª Região Maracanaú;500942
5003206587720;6587720;CENTRO DE ATENCAO PSICOSSOCIAL INFANTIL DE CORUMBA;79330040;70;50;;2018;12;4;CAPS INFANTO/JUVENIL;500320;Mato Grosso do Sul;2833742;Corumbá;94874;MS;50002;Corumbá;115869
2923806586635;6586635;CENTRO DE ATENDIMENTO PSICOSSOCIAL NOVA ESPERANCA;48430000;70;29;;2018;12;1;CAPS I;292380;Bahia;14659023;Paripiranga;26609;BA;29019;Ribeira do Pombal;302472
3534306746012;6746012;CAPS I SEBASTIAO BOSCHIN ORLANDIA;14620000;70;35;;2018;12;1;CAPS I;353430;São Paulo;46024937;Orlândia;37916;SP;35082;Alta Anhanguera;146033
3550306759971;6759971;CAPS INFANTIL II SAPOPEMBA;3978070;70;35;;2018;12;4;CAPS INFANTO/JUVENIL;355030;São Paulo;46024937;São Paulo;12200180;SP;35016;São Paulo;12200180
4305106755054;6755054;CAPS NOVO AMANHA;95057530;70;43;;2018;12;6;CAPS ALCOOL E DROGAS III - MUNICIPAL;430510;Rio Grande do Sul;11088065;Caxias do Sul;503068;RS;43023;Região 23 - Caxias e Hortênsias;637133
3556206753205;6753205;CENTRO DE ATENCAO PSICOSSOCIAL II CAPS II;13276045;70;35;;2018;12;2;CAPS II;355620;São Paulo;46024937;Valinhos;132846;SP;35072;Região Metropolitana de Campinas;3255127
5217106759726;6759726;CAPS I CENTRO DE ATENCAO PSICOSSOCIAL REVIVER EM SANIDADE;75640000;70;52;17;2018;12;1;CAPS I;521710;Goiás;6950976;Piracanjuba;23771;GO;52002;Centro Sul;923411
4106905319226;5319226;CAPS AD BOA VISTA;82510190;70;41;17;2018;12;5;CAPS ALCOOL E DROGA;410690;Paraná;11835379;Curitiba;1871789;PR;41002;2ª RS Metropolitana;3742171
4114205327423;5327423;CAPS I CENTRO DE ATENCAO PSICOSSOCIAL;86975000;70;41;;2018;12;1;CAPS I;411420;Paraná;11835379;Mandaguari;36827;PR;41015;15ª RS Maringá;930490
3550306626327;6626327;CAPS INFANTOJUVENIL II VILA MARIA VILA GUILHERME DA VILA;2127001;70;35;;2018;12;4;CAPS INFANTO/JUVENIL;355030;São Paulo;46024937;São Paulo;12200180;SP;35016;São Paulo;12200180
2314105543754;5543754;CENTRO DE ATENCAO PSICOSSOCIAL CAPS VICOSA DO CEARA;62300000;70;23;17;2018;12;1;CAPS I;231410;Ceará;8936431;Viçosa do Ceará;59470;CE;23013;13ª Região Tianguá;322293
2918106155952;6155952;CAPS RENASCER;48540000;70;29;;2018;12;1;CAPS I;291810;Bahia;14659023;Jeremoabo;37519;BA;29017;Paulo Afonso;248920
3302006630154;6630154;CAPSI CASINHA AZUL;23815150;70;33;;2018;12;4;CAPS INFANTO/JUVENIL;330200;Rio de Janeiro;16615526;Itaguaí;132867;RJ;33005;Metropolitana I;10089639
3501906628613;6628613;CAPS AD;13900100;70;35;17;2018;12;5;CAPS ALCOOL E DROGA;350190;São Paulo;46024937;Amparo;69952;SP;35074;Circuito das Águas;133777
2202606794297;6794297;CENTRO DE ATENCAO PSICOSSOCIAL CAPS I DE CASTELO DO PIAUI;64340000;70;22;;2018;12;1;CAPS I;220260;Piauí;3270174;Castelo do Piauí;19266;PI;22001;Carnaubais;158788
2614606799426;6799426;CAPS I RENASCER;56780000;70;26;;2018;12;1;CAPS I;261460;Pernambuco;9051113;Tabira;27505;PE;26001;Afogados da Ingazeira;184050
5201105531292;5531292;CAPSI CRESCER ANAPOLIS;75020420;70;52;15;2018;12;4;CAPS INFANTO/JUVENIL;520110;Goiás;6950976;Anápolis;393417;GO;52011;Pirineus;531431
2920505919282;5919282;CAPS I DE MARACAS;45360000;70;29;;2018;12;1;CAPS I;292050;Bahia;14659023;Maracás;27747;BA;29015;Jequié;490737
2409306803857;6803857;CAPS;59770000;70;24;;2018;12;1;CAPS I;240930;Rio Grande do Norte;3303953;Patu;11001;RN;24006;6ª Região de Saúde - Pau dos Ferros;241762
3522507466536;7466536;CAPS II INFANTO JUVENIL CIRANDA;6694190;70;35;0;2018;12;4;CAPS INFANTO/JUVENIL;352250;São Paulo;46024937;Itapevi;239084;SP;35014;Rota dos Bandeirantes;2076368
4104507463685;7463685;CENTRO DE ATENCAO PSICOSSOCIAL CAPS I CAPANEMA PR;85760000;70;41;;2018;12;1;CAPS I;410450;Paraná;11835379;Capanema;19205;PR;41008;8ª RS Francisco Beltrão;371437
4114007468806;7468806;CAPS ARTE DE VIVER;87340000;70;41;;2018;12;1;CAPS I;411400;Paraná;11835379;Mamborê;13404;PR;41011;11ª RS Campo Mourão;342594
4125707444982;7444982;CAPS;85877000;70;41;;2018;12;1;CAPS I;412570;Paraná;11835379;São Miguel do Iguaçu;29285;PR;41009;9ª RS Foz do Iguaçu;445448
2613207280599;7280599;CAPS DE SAO JOAO ELIAS LOPES LIMA FILHO;55435000;70;26;;2018;12;1;CAPS I;261320;Pernambuco;9051113;São João;23411;PE;26004;Garanhuns;537943
3169707282265;7282265;CAPS PORTO SEGURO;39660000;70;31;;2018;12;1;CAPS I;316970;Minas Gerais;20732660;Turmalina;19933;MG;31027;Turmalina/Minas Novas/Capelinha;111538
4104307540256;7540256;CAPS AD;87300010;70;41;;2018;12;5;CAPS ALCOOL E DROGA;410430;Paraná;11835379;Campo Mourão;99170;PR;41011;11ª RS Campo Mourão;342594
2500507633424;7633424;CENTRO DE ATENCAO PSICOSSOCIAL RISOLENY SILVA DOS SANTOS;58390000;70;25;;2018;12;1;CAPS I;250050;Paraíba;4030961;Alagoinha;13698;PB;25002;2ª Região;292135
3156607637527;7637527;CENTRO DE ATENCAO PSICOSSOCIAL ESPERANCA;39950000;70;31;;2018;12;1;CAPS I;315660;Minas Gerais;20732660;Rubim;10321;MG;31094;Almenara/Jacinto;157885
2507307631030;7631030;CENTRO DE ATENCAO PSICOSSOCIAL DE JACARAU;58278000;70;25;;2018;12;1;CAPS I;250730;Paraíba;4030961;Jacaraú;14719;PB;25014;14ª Região;156668
2608107629249;7629249;CAPS I DE JOAO ALFREDO PE;55720000;70;26;17;2018;12;1;CAPS I;260810;Pernambuco;9051113;João Alfredo;27710;PE;26006;Limoeiro;562022
3145107625898;7625898;CAPS AMANHECER;37860000;70;31;;2018;12;1;CAPS I;314510;Minas Gerais;20732660;Nova Resende;16545;MG;31092;Passos;203276
3145307629699;7629699;CENTRO DE ATENCAO PSICOSSOCIAL;39820000;70;31;;2018;12;1;CAPS I;314530;Minas Gerais;20732660;Novo Cruzeiro;26850;MG;31099;Teófilo Otoni / Malacacheta;265300
3145207582226;7582226;CAPS AD VITOR ARCANJO BATISTA DE NOVA SERRANA;35519000;70;31;;2018;12;5;CAPS ALCOOL E DROGA;314520;Minas Gerais;20732660;Nova Serrana;114497;MG;31032;Pará de Minas;265391
2101707551002;7551002;CAPS I DE BARREIRINHAS;65590000;70;21;;2018;12;1;CAPS I;210170;Maranhão;6800605;Barreirinhas;69312;MA;21013;Rosário;286338
2910803502953;3502953;CAPS II OSCAR MARQUES;44001448;70;29;;2018;12;2;CAPS II;291080;Bahia;14659023;Feira de Santana;652592;BA;29006;Feira de Santana;1187745
2616305276500;5276500;CENTRO DE ATENCAO PSICOSSOCIAL JOSILDO RUFINO;55850000;70;26;15;2018;12;1;CAPS I;261630;Pernambuco;9051113;Vicência;26254;PE;26006;Limoeiro;562022
1200257503105;7503105;PREFEITURA MUNICIPAL DE EPITACIOLANDIA CAPS I;69934000;70;12;;2018;12;1;CAPS I;120025;Acre;829780;Epitaciolândia;18697;AC;12001;Alto Acre;70821
2604107612621;7612621;CAPS AD III MANDACARU;55038560;70;26;;2018;12;5;CAPS ALCOOL E DROGA;260410;Pernambuco;9051113;Caruaru;378180;PE;26003;Caruaru;1330571
4206307640145;7640145;CENTRO DE ATENCAO PSICOSSOCIAL DE GUABIRUBA CAPS;88360000;70;42;;2018;12;1;CAPS I;420630;Santa Catarina;7762154;Guabiruba;24578;SC;42006;Médio Vale do Itajaí;818309
4211907618395;7618395;CAPSI;88130180;70;42;;2018;12;4;CAPS INFANTO/JUVENIL;421190;Santa Catarina;7762154;Palhoça;236638;SC;42007;Grande Florianópolis;1426392
4211907618409;7618409;CAPSAD;88130280;70;42;;2018;12;5;CAPS ALCOOL E DROGA;421190;Santa Catarina;7762154;Palhoça;236638;SC;42007;Grande Florianópolis;1426392
3304556185045;6185045;SMS CAPSI JOAO DE BARRO AP 52;23070220;70;33;;2018;12;4;CAPS INFANTO/JUVENIL;330455;Rio de Janeiro;16615526;Rio de Janeiro;6625849;RJ;33005;Metropolitana I;10089639
2923105014247;5014247;CENTRO DE ATENCAO PSICOSSOCIAL;48470000;70;29;;2018;12;1;CAPS I;292310;Bahia;14659023;Olindina;22615;BA;29019;Ribeira do Pombal;302472
2805705033462;5033462;CAPS I IRMA AUGUSTINHA;49900000;70;28;;2018;12;1;CAPS I;280570;Sergipe;2211868;Propriá;26648;SE;28007;Propriá;148146
1302605077060;5077060;CAPS DR SILVERIO TUNDIS;69059140;70;13;17;2018;12;3;CAPS III;130260;Amazonas;3952262;Manaus;2054731;AM;13001;Manaus, Entorno e Alto Rio Negro;2391219
4126253906256;3906256;CENTRO DE ATENCAO PSICOSSOCIAL INDEPENDENCIA;87113300;70;41;;2018;12;2;CAPS II;412625;Paraná;11835379;Sarandi;126057;PR;41015;15ª RS Maringá;930490
2500537594062;7594062;CAPS ALCANTIL;58460000;70;25;17;2018;12;1;CAPS I;250053;Paraíba;4030961;Alcantil;5578;PB;25015;15ª Região;152536
3119409119396;9119396;NUCLEO DE ATENCAO A SAUDE MENTAL DA CRIANCA E DO ADOLESCENTE;35171000;70;31;;2018;12;4;CAPS INFANTO/JUVENIL;311940;Minas Gerais;20732660;Coronel Fabriciano;96621;MG;31035;Coronel Fabriciano/Timóteo;206008
2307259170286;9170286;CENTRO DE ATENCAO PSICOSSOCIAL CAPS DE JIJOCA;62598000;70;23;;2018;12;1;CAPS I;230725;Ceará;8936431;Jijoca de Jericoacoara;29472;CE;23012;12ª Região Acaraú;244232
3138407945663;7945663;CENTRO DE ATENCAO PSICOSSOCIAL CAPSIII;36700000;70;31;;2018;12;3;CAPS III;313840;Minas Gerais;20732660;Leopoldina;49020;MG;31044;Leopoldina / Cataguases;170025
2928703624439;3624439;CAPS II NOVA VIDA;44571009;70;29;;2018;12;5;CAPS ALCOOL E DROGA;292870;Bahia;14659023;Santo Antônio de Jesus;103055;BA;29022;Santo Antônio de Jesus;452458
3119207833806;7833806;CAPS COROACI;39710000;70;31;;2018;12;1;CAPS I;311920;Minas Gerais;20732660;Coroaci;10870;MG;31036;Governador Valadares;397907
2609157828268;7828268;CENTRO DE ATENCAO PSICOSSOCIAL DE MANARI;56565000;70;26;0;2018;12;1;CAPS I;260915;Pernambuco;9051113;Manari;24255;PE;26002;Arcoverde;410868
3300257800290;7800290;CAPS DE ARRAIAL DO CABO;28930000;70;33;;2018;12;1;CAPS I;330025;Rio de Janeiro;16615526;Arraial do Cabo;31030;RJ;33002;Baixada Litorânea;824674
